Title,Type,Source,Status,Tags
Missing 411: The U.F.O. Connection,Movie,https://www.imdb.com/title/tt22080556/,Transcript uploaded,"Missing persons, UAP clusters, wilderness disappearances"
A Strange Harvest,Movie,https://www.imdb.com/title/tt6362274/,Transcript uploaded,"Cattle mutilation, black helicopters, Linda Moulton Howe"
The Flying Saucer,Movie,https://www.imdb.com/title/tt0042469/,Transcript uploaded,"Early UFO fiction, Cold War, cinematic framing"
Ariel Phenomenon,Movie,https://www.imdb.com/title/tt20216382/,Transcript uploaded,"Witness transformation, schoolchildren, John Mack"
Mirage Men,Movie,https://www.imdb.com/title/tt2254010/,Transcript uploaded,"Disinformation, Richard Doty, control system"
The Phenomenon,Movie,https://www.imdb.com/title/tt13095604/,Transcript uploaded,"Military pilots, disclosure timeline, Fravor"
Moment of Contact,Movie,https://www.imdb.com/title/tt21451264/,Transcript uploaded,"Brazil, Varginha, biological entity retrieval"
Peter Jennings Reporting: UFOs - Seeing Is Believing,Movie,https://www.imdb.com/title/tt0448085/,Transcript uploaded,"ABC News, pilot testimony, radar data"
Close Encounters of the Fifth Kind,Movie,https://www.imdb.com/title/tt12108272/,Transcript uploaded,"CE5, consciousness, Greer"
The Program,Movie,https://www.imdb.com/title/tt33549764/,Transcript uploaded,"Grusch era, secrecy, whistleblowers"
Intruders (1992),TV Series,https://www.imdb.com/title/tt0104523/,Transcript uploaded,"Abduction, implants, psychological operations"
Navajo Ranger Jon 'Redbird' Dover - Blurry Creatures Ep.303,Podcast,https://www.youtube.com/watch?v=DuMMqlb53H0,Transcript uploaded,"Skinwalkers, indigenous contact logic"
Missing 411: UFO Connection - David Paulides - Blurry Creatures Ep.150,Podcast,https://www.youtube.com/watch?v=L_7jiLwmzV8,Transcript uploaded,"Granite, water, missing clusters"
Vatican Archives - Diana Pasulka - Blurry Creatures Ep.126,Podcast,https://www.youtube.com/watch?v=TViUETE6VzY,Transcript uploaded,"Invisible College, theology, seraphim"
Pasulka - I Held UFO Crash Pieces - Blurry Creatures Ep.286,Podcast,https://www.youtube.com/watch?v=Mg0NvldY23Y,Transcript uploaded,"Metamaterials, sacred technology, witness shift"
Charlie Munger - 24 Cognitive Biases,Lecture,https://www.youtube.com/watch?v=IRfv49wTkfw,Transcript uploaded,"Rationality, decision-making, human error"
